id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,DE_Balance,2030,1,1,4,349,0.0,-0.0
2,NL_Balance,DE_Balance,2030,1,5,8,350,0.0,3.3284000000000002
3,NL_Balance,DE_Balance,2030,1,9,12,351,0.0,6.572
4,NL_Balance,DE_Balance,2030,1,13,16,352,0.0,3.3284000000000002
5,NL_Balance,DE_Balance,2030,1,17,20,353,0.0,3.3284000000000002
6,NL_Balance,DE_Balance,2030,1,21,24,354,0.0,3.3284000000000002
7,NL_Balance,BE_Balance,2030,1,1,4,355,0.0,0.0
8,NL_Balance,BE_Balance,2030,1,5,8,356,0.0,0.0
9,NL_Balance,BE_Balance,2030,1,9,12,357,0.0,0.0
10,NL_Balance,BE_Balance,2030,1,13,16,358,0.0,-0.0
11,NL_Balance,BE_Balance,2030,1,17,20,359,0.0,0.0
12,NL_Balance,BE_Balance,2030,1,21,24,360,0.0,0.0
13,NL_Balance,UK_Balance,2030,1,1,4,361,0.0,0.0
14,NL_Balance,UK_Balance,2030,1,5,8,362,0.0,3.3284000000000002
15,NL_Balance,UK_Balance,2030,1,9,12,363,0.0,0.0
16,NL_Balance,UK_Balance,2030,1,13,16,364,0.0,-0.0
17,NL_Balance,UK_Balance,2030,1,17,20,365,0.0,0.0
18,NL_Balance,UK_Balance,2030,1,21,24,366,0.0,3.3284000000000002
19,BE_Balance,DE_Balance,2030,1,1,4,367,0.0,-0.0
20,BE_Balance,DE_Balance,2030,1,5,8,368,0.0,3.3284000000000002
21,BE_Balance,DE_Balance,2030,1,9,12,369,0.0,6.572
22,BE_Balance,DE_Balance,2030,1,13,16,370,0.0,3.3284000000000002
23,BE_Balance,DE_Balance,2030,1,17,20,371,0.0,3.3284000000000002
24,BE_Balance,DE_Balance,2030,1,21,24,372,0.0,3.3284000000000002
25,BE_Balance,LU_Balance,2030,1,1,4,373,0.0,0.0
26,BE_Balance,LU_Balance,2030,1,5,8,374,0.0,-0.0
27,BE_Balance,LU_Balance,2030,1,9,12,375,0.0,0.0
28,BE_Balance,LU_Balance,2030,1,13,16,376,0.0,0.0
29,BE_Balance,LU_Balance,2030,1,17,20,377,0.0,0.0
30,BE_Balance,LU_Balance,2030,1,21,24,378,0.0,0.0
31,BE_Balance,FR_Balance,2030,1,1,4,379,0.0,0.0
32,BE_Balance,FR_Balance,2030,1,5,8,380,-7.0596,0.0
33,BE_Balance,FR_Balance,2030,1,9,12,381,-3.815999999999999,0.0
34,BE_Balance,FR_Balance,2030,1,13,16,382,0.0,-0.0
35,BE_Balance,FR_Balance,2030,1,17,20,383,-7.0596,0.0
36,BE_Balance,FR_Balance,2030,1,21,24,384,-7.0596,0.0
37,BE_Balance,UK_Balance,2030,1,1,4,385,0.0,-0.0
38,BE_Balance,UK_Balance,2030,1,5,8,386,0.0,3.3284000000000002
39,BE_Balance,UK_Balance,2030,1,9,12,387,0.0,0.0
40,BE_Balance,UK_Balance,2030,1,13,16,388,0.0,0.0
41,BE_Balance,UK_Balance,2030,1,17,20,389,0.0,-0.0
42,BE_Balance,UK_Balance,2030,1,21,24,390,0.0,3.3284000000000002
43,DE_Balance,CH_Balance,2030,1,1,4,391,-6.572,0.0
44,DE_Balance,CH_Balance,2030,1,5,8,392,-6.572,0.0
