id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,1,4,0.0
2,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,5,8,0.0
3,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,9,12,0.0
4,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,13,16,0.0
5,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,17,20,0.0
6,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,21,24,0.0
7,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,1,4,0.0
8,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,5,8,0.0
9,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,9,12,0.0
10,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,13,16,0.0
11,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,17,20,0.0
12,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,21,24,0.0
13,NL_CCGT,NL_Balance,2030,1,1.0,1.0,1,4,0.0
14,NL_CCGT,NL_Balance,2030,1,1.0,1.0,5,8,0.0
15,NL_CCGT,NL_Balance,2030,1,1.0,1.0,9,12,2485.912788998745
16,NL_CCGT,NL_Balance,2030,1,1.0,1.0,13,16,0.0
17,NL_CCGT,NL_Balance,2030,1,1.0,1.0,17,20,0.0
18,NL_CCGT,NL_Balance,2030,1,1.0,1.0,21,24,0.0
19,NL_OCGT,NL_Balance,2030,1,1.0,1.0,1,4,0.0
20,NL_OCGT,NL_Balance,2030,1,1.0,1.0,5,8,0.0
21,NL_OCGT,NL_Balance,2030,1,1.0,1.0,9,12,0.0
22,NL_OCGT,NL_Balance,2030,1,1.0,1.0,13,16,0.0
23,NL_OCGT,NL_Balance,2030,1,1.0,1.0,17,20,0.0
24,NL_OCGT,NL_Balance,2030,1,1.0,1.0,21,24,0.0
25,NL_Battery,NL_Balance,2030,1,1.0,1.0,1,4,0.0
26,NL_Battery,NL_Balance,2030,1,1.0,1.0,5,8,0.0
27,NL_Battery,NL_Balance,2030,1,1.0,1.0,9,12,0.0
28,NL_Battery,NL_Balance,2030,1,1.0,1.0,13,16,0.0
29,NL_Battery,NL_Balance,2030,1,1.0,1.0,17,20,0.0
30,NL_Battery,NL_Balance,2030,1,1.0,1.0,21,24,0.0
31,NL_Balance,NL_Battery,2030,1,1.0,1.0,1,4,0.0
32,NL_Balance,NL_Battery,2030,1,1.0,1.0,5,8,0.0
33,NL_Balance,NL_Battery,2030,1,1.0,1.0,9,12,0.0
34,NL_Balance,NL_Battery,2030,1,1.0,1.0,13,16,0.0
35,NL_Balance,NL_Battery,2030,1,1.0,1.0,17,20,0.0
36,NL_Balance,NL_Battery,2030,1,1.0,1.0,21,24,0.0
37,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,1,4,5354.602393671374
