id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,true,18.0,,268.0
2,NL_Wind_Onshore,2030,true,49.0,,527.0
3,NL_Wind_Offshore,2030,true,49.0,,-0.0
4,NL_Coal,2030,true,824.0,,4.0
5,NL_Nuclear,2030,true,2095.0,,0.0
6,NL_CCGT,2030,true,357.0,,11.0
7,NL_OCGT,2030,true,357.0,,4.0
8,NL_Battery,2030,false,10.0,,0.0
9,BE_Solar,2030,true,18.0,,535.0
10,BE_Wind_Onshore,2030,true,49.0,,339.0
11,BE_Coal,2030,true,824.0,,3.0
12,BE_Nuclear,2030,true,2095.0,,0.0
13,BE_CCGT,2030,true,357.0,,3.0
14,BE_OCGT,2030,true,357.0,,3.0
15,BE_Battery,2030,false,10.0,,3.1981212714935565
16,DE_Solar,2030,true,18.0,,2241.0
17,DE_Wind_Onshore,2030,true,49.0,,2010.0
18,DE_Wind_Offshore,2030,true,49.0,,-0.0
19,DE_Coal,2030,true,824.0,,23.0
20,DE_Nuclear,2030,true,2095.0,,0.0
21,DE_CCGT,2030,true,357.0,,32.0
22,DE_OCGT,2030,true,357.0,,7.0
23,DE_Battery,2030,false,10.0,,453.1161516985452
24,FR_Solar,2030,true,18.0,,1546.0
25,FR_Wind_Onshore,2030,true,49.0,,2236.0
26,FR_Wind_Offshore,2030,true,49.0,,-0.0
27,FR_Coal,2030,true,824.0,,9.0
28,FR_Nuclear,2030,true,2095.0,,0.0
29,FR_CCGT,2030,true,357.0,,10.0
30,FR_OCGT,2030,true,357.0,,14.0
31,FR_Battery,2030,false,10.0,,146.48618442004027
32,LU_Solar,2030,true,18.0,,212.0
33,LU_Wind_Onshore,2030,true,49.0,,-0.0
34,LU_Wind_Offshore,2030,true,49.0,,-0.0
35,LU_Coal,2030,true,824.0,,0.0
36,LU_Nuclear,2030,true,2095.0,,0.0
37,LU_CCGT,2030,true,357.0,,-0.0
38,LU_OCGT,2030,true,357.0,,0.0
39,LU_Battery,2030,false,10.0,,35.09108081482797
40,CH_Solar,2030,true,18.0,,404.0
41,CH_Wind_Onshore,2030,true,49.0,,0.0
42,CH_Wind_Offshore,2030,true,49.0,,-0.0
43,CH_Coal,2030,true,824.0,,7.0
44,CH_Nuclear,2030,true,2095.0,,0.0
45,CH_OCGT,2030,true,357.0,,1.0
46,UK_Solar,2030,true,18.0,,-0.0
47,UK_Wind_Onshore,2030,true,49.0,,1616.0
48,UK_Coal,2030,true,824.0,,0.0
49,UK_Nuclear,2030,true,2095.0,,0.0
50,UK_CCGT,2030,true,357.0,,15.0
51,UK_OCGT,2030,true,357.0,,10.0
52,UK_Battery,2030,false,10.0,,43.36005358740272
53,BE_Wind_Offshore,2030,true,49.0,,-0.0
54,CH_Battery,2030,false,10.0,,127.49383329928965
55,UK_Wind_Offshore,2030,true,49.0,,-0.0
56,CH_CCGT,2030,true,357.0,,1.0
